,date,username,tweet,hashtags,nlikes
182,2020-06-16 12:28:01,Foxygen_Prime,I was just asked for advice on taking a neutral position on things like #BLM and #LGBTQRights and all I can say is- please do not take a neutral position on the right for people who have no decision or say in their ethnicity or sexual identity’s right to exist and exist safely.,"['#blm', '#lgbtqrights']",56
183,2020-06-16 12:24:35,Adamayonmike,"I remember people laughing at me when i was rocking the #BLM tag in 2016, now look.  pic.twitter.com/gzVzuto62k",['#blm'],69
184,2020-06-16 12:22:45,ShileseJ,The real 🐐😱. #BLM  https://twitter.com/Simone_Biles/status/1272958266843303943 …,['#blm'],68
185,2020-06-16 12:22:36,RebelNewsOnline,"Pro-#BlackLivesMatter mayor calls attack on her house “domestic terrorism”

MORE:  https://www.rebelnews.com/olympia_mayor_call_attack_on_her_house_domestic_terrorism …
#tcot #Trump #BLM  pic.twitter.com/Qr5yQUVqC5","['#blacklivesmatter', '#tcot', '#trump', '#blm']",98
186,2020-06-16 12:22:24,Ang62,So proud of our ⁦@DS_Schools⁩ students who rose to the occasion in support of #BLM in Dover this past weekend!  Taking the initiative!!  pic.twitter.com/iNTjGEntMK,['#blm'],25
187,2020-06-16 12:21:59,westindimade,🙌🏽HOW 🏝CARIBBEAN PEOPLE PROTEST✊🏽 #caribbeanstrong #blm #togetherwearestronger pic.twitter.com/Tk3C0eDd3Q,"['#caribbeanstrong', '#blm', '#togetherwearestronger']",144
188,2020-06-16 12:19:39,westindimade,"🤔DOWN TO BREAKFAST 🥞WAS BUILT ON RACISM AND SOME OF Y’ALL THINK THIS IS NOT A PROBLEM🤦🏽‍♂️
_
(VIA: singkirbysing tiktok) #blacklivesmatter #auntjemima #blm #breakfast #buyblack pic.twitter.com/loEyyIBcM3","['#blacklivesmatter', '#auntjemima', '#blm', '#breakfast', '#buyblack']",45
189,2020-06-16 12:17:41,batansb,"People that where here? You mean Native Americans? White people stole their lands and made it legal in a NEW democracy to own slaves! That was then? Well, this is now! #blm",['#blm'],22
190,2020-06-16 12:14:14,MelforProgress,"In Forest Hills Grace Meng is #BLM, but back in Flushing it's Law and Order. 

I wonder which Grace shows up to D.C.?  pic.twitter.com/QGyrar5FVs",['#blm'],70
191,2020-06-16 12:11:34,UrbanSlowLife,"A little piece of happy: I was putting up #BLM posters in the Glebe and there was just enough breeze to make the paper uncooperative. I hear, ""Do you need a hand with that?"" and a blonde woman helped me stick it to the pole.",['#blm'],84
192,2020-06-16 12:11:21,1027KIISFM,"#ArianaGrande unfollowed #Starbucks after their #BLM controversy prohibiting staff from publicly supporting the movement. 

#BlackLivesMatter #Arianators http://ihe.art/Ajq4R59 ","['#arianagrande', '#starbucks', '#blm', '#blacklivesmatter', '#arianators']",31
193,2020-06-16 12:10:54,NobodyFvcking,"Hey @TeamYouTube why are you allowing the creator Ms Wonderful to spread hate? She's making a mockery out of the #BlackLifesMatters movement by creating SUBS LIVES MATTER t-shirts. She uses the N word, shows a Penis, makes fun of Asians, buys drugs ON YOUR PLATFORM LIVE #BLM  pic.twitter.com/w9vNjLVvsw","['#blacklifesmatters', '#blm']",71
194,2020-06-16 12:09:36,IzzaFran,"Thank you to @MichealDJenkins for making “The Shadow of Slavery” about Bristol, Colston and #BLM which aired as part of the “Take Your Knee Off My Neck” series on @Channel4 tonight. Thank you also to @nasra_ayub and @MarvinJRees for your impact and energy! pic.twitter.com/wQ08E37h4s",['#blm'],19
195,2020-06-16 12:08:51,annebarlow21,"#blm breaking the law today.

As usual no action taken.

Meantime urinating in street gets you 14 days in prison.

Could we have a list of laws that it's ok to break?

@pritipatel @BorisJohnson",['#blm'],78
196,2020-06-16 12:07:42,deandre_rashard,Black lives matter. And ALL black lives matter. I will always support and stand with my trans brothers and sisters. #truth #happy #losangeles #california #peace #happy #goals #confidence #sunshine #remember #blm #ablm #blacklivesmatter #translivesmatter #protest #pride #lgbt pic.twitter.com/Df576vMrd9,"['#truth', '#happy', '#losangeles', '#california', '#peace', '#happy', '#goals', '#confidence', '#sunshine', '#remember', '#blm', '#ablm', '#blacklivesmatter', '#translivesmatter', '#protest', '#pride', '#lgbt']",132
197,2020-06-16 12:07:34,AndyCroy,Astonishing #Wokingham Council meeting. Tories says #BLM is too political and anti police. Cannot support it. Vows to wear #Pride badge 'Whatever that is'.,"['#wokingham', '#blm', '#pride']",35
198,2020-06-16 12:05:38,markhillary,"When the British PM has time to ignore #Covid19, #BLM, and #StatuesMustFall so he can arrange for a jet to be painted in the colours of the union flag then you know that he will soon be resigning to 'spend more time with my family'  https://news.sky.com/story/boris-johnsons-jet-gets-austin-powers-makeover-12007923 … #BorisJohnson","['#covid19', '#blm', '#statuesmustfall', '#borisjohnson']",25
199,2020-06-16 12:03:37,petecrowarm,"“I be judging by the mind and heart, I ain’t really into no faces.” Spread love, be an ally to your black brothers and sisters, mothers and fathers. I will be vocal, I will be loud. I hear you, I acknowledge your pain, I feel it with you, and I will fight along side you. #BLM  pic.twitter.com/SIqoCGKJsQ",['#blm'],205
200,2020-06-16 12:02:46,tj_ford,We are One!! Stand for something or fall for anything 🤘🏾🤘🏾🤘🏾✊🏽✊🏽✊🏽#weareone #BLM  https://www.instagram.com/p/CBgcoSdjiV1/?igshid=fdp7gc756brg …,"['#weareone', '#blm']",30
201,2020-06-16 12:01:07,Hysteria51Pod,"@mufon @mufonri does Ken speak for your organization?  What is your stance on racism when your leaders are posting this on social media???

#BLM #Racism #Mufon #ufotwitter #BLMMOVEMENT #BLM #BlackLivesMattters #protest2020 pic.twitter.com/carpenRA5j","['#blm', '#racism', '#mufon', '#ufotwitter', '#blmmovement', '#blm', '#blacklivesmattters', '#protest2020']",17
202,2020-06-16 11:58:24,gerryconway,THREE NEW DESIGNS for our #SkullsForJustice #BlackLivesMatter #BLM fundraiser are online! This time we're including a variety of colors and styles for one shirt in particular just to keep it crazy. It's my personal goal to drive completists nuts. 💀😏  https://www.customink.com/fundraising/black-lives-matter-skulls-for-justice-presented-by-gerry-conway …,"['#skullsforjustice', '#blacklivesmatter', '#blm']",24
203,2020-06-16 11:55:46,AshWatchingTV,"Literally too mad to type this again. Fuck KJ Apa, fuck that stupid show overall, and fuck anyone who thinks being silent is not being complacent. #BLM  pic.twitter.com/AP4epEHvk1",['#blm'],16
204,2020-06-16 11:54:31,FancyFarica,"I want to share something I found on LinkedIn, this is important. 
#Ally #allyship #allyshipandaction #blm #BLMCanada #SystemicRacism #racism pic.twitter.com/owTXzZ4OB6","['#ally', '#allyship', '#allyshipandaction', '#blm', '#blmcanada', '#systemicracism', '#racism']",24
205,2020-06-16 11:53:44,ASLHipster,Learn how to sign #BLM ✊🏾✊🏾✊🏾  https://twitter.com/aslconnect/status/1272963256232087553 …,['#blm'],22
206,2020-06-16 11:53:01,Ohmnog,"I'm seeing less and less BLM posts and its quite disappointing.. Everything is STILL going on. It hasn't changed. We have to keep this moving! 

#BlackLivesMatters #BLM","['#blacklivesmatters', '#blm']",34
207,2020-06-16 11:52:16,OviesLisa,"Pleade don’t stop being loud. Please don’t stop getting angry. Real, honest change only comes when people are willing to do the hard work, the heavy lifting, to stand up and be brave.  http://DAY.AFTER.DAY . Rest when you need, then get angry all over again #blm #timesup","['#blm', '#timesup']",16
208,2020-06-16 11:52:02,laurelk229,This is why they were right to refuse standing for a photo op - it was all a ruse  #BlackLivesMattters #BLMprotest #BLM #TrumpPressConference #ExecutiveOrder #PoliceReform pic.twitter.com/St31SfJDqg,"['#blacklivesmattters', '#blmprotest', '#blm', '#trumppressconference', '#executiveorder', '#policereform']",40
209,2020-06-16 11:50:30,DeanStottSBS,"This is not a subject I wanted to jump into and discuss lightly, however silence is not an option. 

#blm #8minutes46seconds #timeforchange #allinthistogether #blacklivesmatter #justice pic.twitter.com/fatJ3rZjpV","['#blm', '#8minutes46seconds', '#timeforchange', '#allinthistogether', '#blacklivesmatter', '#justice']",244
